Company,Company,Ticker,Market_Cap,Firm_Efficiency,Recruitment_Rate_Disclosure_Binary,Reported_EE0-1_Binary,Reported_Mean_Gender_Gap_Binary
Booking Holdings Inc,Booking Holdings Inc,BKNG,86243,0.3704,0,0,0
Broadcom Inc,Broadcom Inc,AVGO,184141,1.0,1,0,0
Baker Hughes Co,Baker Hughes Co,BKR,15743,0.4223,1,0,1
Iqvia Holdings Inc,Iqvia Holdings Inc,IQV,32052,0.4011,0,0,1
DuPont de Nemours Inc,DuPont de Nemours Inc,DD,48751,0.4775,0,0,0
PulteGroup  Inc.,PulteGroup  Inc.,PHM,10922,0.9109,0,0,0
Lamb Weston Holdings Inc,Lamb Weston Holdings Inc,LW,11242,0.0047,0,0,0
Steris PLC,Steris PLC,STE,16288,0.0017,0,0,0
IHS Markit Ltd,IHS Markit Ltd,INFO,35363,0.0017,0,0,1
Willis Towers Watson PLC,Willis Towers Watson PLC,WLTW,27353,0.1889,0,0,0
Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,HLT,29296,0.153,0,0,1
Paycom Software Inc,Paycom Software Inc,PAYC,24849,0.0001,0,0,0
Teledyne Technologies Incorporated,Teledyne Technologies Incorporated,TDY,14723,0.0018,0,0,1
Take-Two Interactive Software Inc,Take-Two Interactive Software Inc,TTWO,21753,0.002,0,0,0
Advanced Micro Devices  Inc.,Advanced Micro Devices  Inc.,AMD,112768,0.6786,0,0,0
Celanese Corporation,Celanese Corporation,CE,15066,0.1352,0,0,0
CDW Corp,CDW Corp,CDW,18503,0.6633,0,0,1
Cadence Design Systems Inc,Cadence Design Systems Inc,CDNS,32839,0.0016,0,0,0
Carnival Corp,Carnival Corp,CCL,24880,0.0837,0,0,0
Crown Castle International Corp,Crown Castle International Corp,CCI,68349,0.0877,0,0,0
Fiserv Inc,Fiserv Inc,FISV,76913,0.3846,0,0,0
Fidelity National Information Servcs Inc,Fidelity National Information Servcs Inc,FIS,91972,0.3297,0,0,1
F5 Networks  Inc.,F5 Networks  Inc.,FFIV,10437,0.0009,0,0,1
FedEx Corporation,FedEx Corporation,FDX,76864,1.0,1,0,0
Freeport-McMoRan Inc,Freeport-McMoRan Inc,FCX,35881,0.423,0,0,0
Fortune Brands Home & Security Inc,Fortune Brands Home & Security Inc,FBHS,11654,0.2094,0,0,0
Facebook Inc,Facebook Inc,FB,807122,1.0,0,1,1
Fastenal Company,Fastenal Company,FAST,27874,0.2449,0,0,0
Ford Motor Company,Ford Motor Company,F,36824,1.0,0,0,1
CBRE Group Inc,CBRE Group Inc,CBRE,22202,0.7011,1,0,1
Caterpillar Inc.,Caterpillar Inc.,CAT,94895,0.7452,0,0,1
FMC Corp,FMC Corp,FMC,15263,0.0505,0,0,0
FleetCor Technologies  Inc.,FleetCor Technologies  Inc.,FLT,23378,0.0008,0,0,0
Maxim Integrated Products Inc.,Maxim Integrated Products Inc.,MXIM,22785,0.0027,1,0,0
Micron Technology  Inc.,Micron Technology  Inc.,MU,81433,0.5019,0,0,0
Mettler-Toledo International Inc.,Mettler-Toledo International Inc.,MTD,27068,0.0016,1,0,0
Motorola Solutions Inc,Motorola Solutions Inc,MSI,30338,0.2228,0,0,1
Microsoft Corporation,Microsoft Corporation,MSFT,1604129,1.0,0,1,1
Msci Inc,Msci Inc,MSCI,35217,0.0016,0,0,0
Morgan Stanley,Morgan Stanley,MS,113827,1.0,0,1,1
